SIRA NO;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE
122;XTEKS_CFNNTLUS;BIST TEKSTIL DERI GETIRI (ABD DOLARI);BIST TEXTILE LEATHER RETURN (USD);USD;06/01/2023;1422.09
123;XTEKS_CFNNTLER;BIST TEKSTIL DERI GETIRI (EURO);BIST TEXTILE LEATHER RETURN (EURO);EUR;06/01/2023;1585.96
124;XUHIZ_CFNNTLTL;BIST HIZMETLER GETIRI;BIST SERVICES RETURN;TRY;06/01/2023;7885.29
125;XUHIZ_CFNNTLUS;BIST HIZMETLER GETIRI (ABD DOLARI);BIST SERVICES RETURN (USD);USD;06/01/2023;2447.24
126;XUHIZ_CFNNTLER;BIST HIZMETLER GETIRI (EURO);BIST SERVICES RETURN (EURO);EUR;06/01/2023;2729.25
127;XELKT_CFNNTLTL;BIST ELEKTRIK GETIRI;BIST ELECTRICITY RETURN;TRY;06/01/2023;624.67
128;XELKT_CFNNTLUS;BIST ELEKTRIK GETIRI (ABD DOLARI);BIST ELECTRICITY RETURN (USD);USD;06/01/2023;193.87
129;XELKT_CFNNTLER;BIST ELEKTRIK GETIRI (EURO);BIST ELECTRICITY RETURN (EURO);EUR;06/01/2023;216.21
130;XILTM_CFNNTLTL;BIST ILETISIM GETIRI;BIST TELECOMMUNICATION RETURN;TRY;06/01/2023;2205.35
131;XILTM_CFNNTLUS;BIST ILETISIM GETIRI (ABD DOLARI);BIST TELECOMMUNICATION RETURN (USD);USD;06/01/2023;684.44
132;XILTM_CFNNTLER;BIST ILETISIM GETIRI (EURO);BIST TELECOMMUNICATION RETURN (EURO);EUR;06/01/2023;763.32
133;XINSA_CFNNTLTL;BIST INSAAT GETIRI;BIST CONSTRUCTION RETURN;TRY;06/01/2023;9736.3
134;XINSA_CFNNTLUS;BIST INSAAT GETIRI (ABD DOLARI);BIST CONSTRUCTION RETURN (USD);USD;06/01/2023;3021.71
135;XINSA_CFNNTLER;BIST INSAAT GETIRI (EURO);BIST CONSTRUCTION RETURN (EURO);EUR;06/01/2023;3369.92
136;XSPOR_CFNNTLTL;BIST SPOR GETIRI;BIST SPORTS RETURN;TRY;06/01/2023;2702.24
137;XSPOR_CFNNTLUS;BIST SPOR GETIRI (ABD DOLARI);BIST SPORTS RETURN (USD);USD;06/01/2023;838.65
138;XSPOR_CFNNTLER;BIST SPOR GETIRI (EURO);BIST SPORTS RETURN (EURO);EUR;06/01/2023;935.3
139;XTCRT_CFNNTLTL;BIST TICARET GETIRI;BIST W. AND RETAIL TRADE RETURN;TRY;06/01/2023;12337.06
140;XTCRT_CFNNTLUS;BIST TICARET GETIRI (ABD DOLARI);BIST W. AND RETAIL TRADE RETURN (USD);USD;06/01/2023;3828.87
141;XTCRT_CFNNTLER;BIST TICARET GETIRI (EURO);BIST W. AND RETAIL TRADE RETURN (EURO);EUR;06/01/2023;4270.1
142;XTRZM_CFNNTLTL;BIST TURIZM GETIRI;BIST TOURISM RETURN;TRY;06/01/2023;786.87
143;XTRZM_CFNNTLUS;BIST TURIZM GETIRI (ABD DOLARI);BIST TOURISM RETURN (USD);USD;06/01/2023;244.21
144;XTRZM_CFNNTLER;BIST TURIZM GETIRI (EURO);BIST TOURISM RETURN (EURO);EUR;06/01/2023;272.35
145;XULAS_CFNNTLTL;BIST ULASTIRMA GETIRI;BIST TRANSPORTATION RETURN;TRY;06/01/2023;33065.97
