KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
140;XULAS_CFNPTLUS;BIST ULASTIRMA (ABD DOLARI);BIST TRANSPORTATION (USD);USD;06/01/2023;4861.95;4861.95;4861.95;4861.95
141;XULAS_CFNPTLER;BIST ULASTIRMA (EURO);BIST TRANSPORTATION (EURO);EUR;06/01/2023;5422.22;5422.22;5422.22;5422.22
142;XUMAL;BIST MALI;BIST FINANCIALS;TRY;06/01/2023;5158.24;4954.7;4782.88;5238.52
143;XUMAL_CFNPTLUS;BIST MALI (ABD DOLARI);BIST FINANCIALS (USD);USD;06/01/2023;1600.89;1600.89;1600.89;1600.89
144;XUMAL_CFNPTLER;BIST MALI (EURO);BIST FINANCIALS (EURO);EUR;06/01/2023;1785.37;1785.37;1785.37;1785.37
145;XBANK;BIST BANKA;BIST BANKS;TRY;06/01/2023;4725.95;4547.71;4376.44;4824.56
146;XBANK_CFNPTLUS;BIST BANKA (ABD DOLARI);BIST BANKS (USD);USD;06/01/2023;1466.72;1466.72;1466.72;1466.72
147;XBANK_CFNPTLER;BIST BANKA (EURO);BIST BANKS (EURO);EUR;06/01/2023;1635.74;1635.74;1635.74;1635.74
148;XSGRT;BIST SIGORTA;BIST INSURANCE;TRY;06/01/2023;12837.46;12119.27;11602.91;12927.52
149;XSGRT_CFNPTLUS;BIST SIGORTA (ABD DOLARI);BIST INSURANCE (USD);USD;06/01/2023;3984.17;3984.17;3984.17;3984.17
150;XSGRT_CFNPTLER;BIST SIGORTA (EURO);BIST INSURANCE (EURO);EUR;06/01/2023;4443.29;4443.29;4443.29;4443.29
151;XFINK;BIST FIN. KIR. FAKTORING;BIST LEASING FACTORING;TRY;06/01/2023;1940.12;1871.91;1794.23;1963.3
152;XFINK_CFNPTLUS;BIST FIN. KIR. FAKTORING (ABD DOLARI);BIST LEASING FACTORING (USD);USD;06/01/2023;602.13;602.13;602.13;602.13
153;XFINK_CFNPTLER;BIST FIN. KIR. FAKTORING (EURO);BIST LEASING FACTORING (EURO);EUR;06/01/2023;671.51;671.51;671.51;671.51
